time,X-mean,X-sd
0,0,0
1,2.5,1.767766953
2,2.5,1.767766953
3,2.5,1.767766953
4,2.5,1.767766953
5,2.5,1.767766953
6,2.5,1.767766953
7,2.5,1.767766953
8,2.5,1.767766953
9,2.5,1.767766953
10,2.5,1.767766953
11,2.5,1.767766953
12,2.5,1.767766953
13,2.5,1.767766953
14,2.5,1.767766953
15,2.5,1.767766953
16,2.5,1.767766953
17,2.5,1.767766953
18,2.5,1.767766953
19,2.5,1.767766953
20,2.5,1.767766953
21,2.5,1.767766953
22,2.5,1.767766953
23,2.5,1.767766953
24,2.5,1.767766953
25,2.5,1.767766953
26,2.5,1.767766953
27,2.5,1.767766953
28,2.5,1.767766953
29,2.5,1.767766953
30,2.5,1.767766953
31,2.5,1.767766953
32,2.5,1.767766953
33,2.5,1.767766953
34,2.5,1.767766953
35,2.5,1.767766953
36,2.5,1.767766953
37,2.5,1.767766953
38,2.5,1.767766953
39,2.5,1.767766953
40,2.5,1.767766953
41,2.5,1.767766953
42,2.5,1.767766953
43,2.5,1.767766953
44,2.5,1.767766953
45,2.5,1.767766953
46,2.5,1.767766953
47,2.5,1.767766953
48,2.5,1.767766953
49,2.5,1.767766953
50,2.5,1.767766953
