time,X-mean,X-sd
0,0,0
1,2.222222222,0.248451998
2,2.222222222,0.248451998
3,2.222222222,0.248451998
4,2.222222222,0.248451998
5,2.222222222,0.248451998
6,2.222222222,0.248451998
7,2.222222222,0.248451998
8,2.222222222,0.248451998
9,2.222222222,0.248451998
10,2.222222222,0.248451998
11,2.222222222,0.248451998
12,2.222222222,0.248451998
13,2.222222222,0.248451998
14,2.222222222,0.248451998
15,2.222222222,0.248451998
16,2.222222222,0.248451998
17,2.222222222,0.248451998
18,2.222222222,0.248451998
19,2.222222222,0.248451998
20,2.222222222,0.248451998
21,2.222222222,0.248451998
22,2.222222222,0.248451998
23,2.222222222,0.248451998
24,2.222222222,0.248451998
25,2.222222222,0.248451998
26,2.222222222,0.248451998
27,2.222222222,0.248451998
28,2.222222222,0.248451998
29,2.222222222,0.248451998
30,2.222222222,0.248451998
31,2.222222222,0.248451998
32,2.222222222,0.248451998
33,2.222222222,0.248451998
34,2.222222222,0.248451998
35,2.222222222,0.248451998
36,2.222222222,0.248451998
37,2.222222222,0.248451998
38,2.222222222,0.248451998
39,2.222222222,0.248451998
40,2.222222222,0.248451998
41,2.222222222,0.248451998
42,2.222222222,0.248451998
43,2.222222222,0.248451998
44,2.222222222,0.248451998
45,2.222222222,0.248451998
46,2.222222222,0.248451998
47,2.222222222,0.248451998
48,2.222222222,0.248451998
49,2.222222222,0.248451998
50,2.222222222,0.248451998
