time,X-mean,X-sd
0,0,0
1,0.8862269,0.463251424
2,0.8862269,0.463251424
3,0.8862269,0.463251424
4,0.8862269,0.463251424
5,0.8862269,0.463251424
6,0.8862269,0.463251424
7,0.8862269,0.463251424
8,0.8862269,0.463251424
9,0.8862269,0.463251424
10,0.8862269,0.463251424
11,0.8862269,0.463251424
12,0.8862269,0.463251424
13,0.8862269,0.463251424
14,0.8862269,0.463251424
15,0.8862269,0.463251424
16,0.8862269,0.463251424
17,0.8862269,0.463251424
18,0.8862269,0.463251424
19,0.8862269,0.463251424
20,0.8862269,0.463251424
21,0.8862269,0.463251424
22,0.8862269,0.463251424
23,0.8862269,0.463251424
24,0.8862269,0.463251424
25,0.8862269,0.463251424
26,0.8862269,0.463251424
27,0.8862269,0.463251424
28,0.8862269,0.463251424
29,0.8862269,0.463251424
30,0.8862269,0.463251424
31,0.8862269,0.463251424
32,0.8862269,0.463251424
33,0.8862269,0.463251424
34,0.8862269,0.463251424
35,0.8862269,0.463251424
36,0.8862269,0.463251424
37,0.8862269,0.463251424
38,0.8862269,0.463251424
39,0.8862269,0.463251424
40,0.8862269,0.463251424
41,0.8862269,0.463251424
42,0.8862269,0.463251424
43,0.8862269,0.463251424
44,0.8862269,0.463251424
45,0.8862269,0.463251424
46,0.8862269,0.463251424
47,0.8862269,0.463251424
48,0.8862269,0.463251424
49,0.8862269,0.463251424
50,0.8862269,0.463251424
