time,X-mean,X-sd
0,0,0
1,1.5,0.866025404
2,1.5,0.866025404
3,1.5,0.866025404
4,1.5,0.866025404
5,1.5,0.866025404
6,1.5,0.866025404
7,1.5,0.866025404
8,1.5,0.866025404
9,1.5,0.866025404
10,1.5,0.866025404
11,1.5,0.866025404
12,1.5,0.866025404
13,1.5,0.866025404
14,1.5,0.866025404
15,1.5,0.866025404
16,1.5,0.866025404
17,1.5,0.866025404
18,1.5,0.866025404
19,1.5,0.866025404
20,1.5,0.866025404
21,1.5,0.866025404
22,1.5,0.866025404
23,1.5,0.866025404
24,1.5,0.866025404
25,1.5,0.866025404
26,1.5,0.866025404
27,1.5,0.866025404
28,1.5,0.866025404
29,1.5,0.866025404
30,1.5,0.866025404
31,1.5,0.866025404
32,1.5,0.866025404
33,1.5,0.866025404
34,1.5,0.866025404
35,1.5,0.866025404
36,1.5,0.866025404
37,1.5,0.866025404
38,1.5,0.866025404
39,1.5,0.866025404
40,1.5,0.866025404
41,1.5,0.866025404
42,1.5,0.866025404
43,1.5,0.866025404
44,1.5,0.866025404
45,1.5,0.866025404
46,1.5,0.866025404
47,1.5,0.866025404
48,1.5,0.866025404
49,1.5,0.866025404
50,1.5,0.866025404
