time,X-mean,X-sd
0,0,0
1,1,0.810998225
2,1,0.810998225
3,1,0.810998225
4,1,0.810998225
5,1,0.810998225
6,1,0.810998225
7,1,0.810998225
8,1,0.810998225
9,1,0.810998225
10,1,0.810998225
11,1,0.810998225
12,1,0.810998225
13,1,0.810998225
14,1,0.810998225
15,1,0.810998225
16,1,0.810998225
17,1,0.810998225
18,1,0.810998225
19,1,0.810998225
20,1,0.810998225
21,1,0.810998225
22,1,0.810998225
23,1,0.810998225
24,1,0.810998225
25,1,0.810998225
26,1,0.810998225
27,1,0.810998225
28,1,0.810998225
29,1,0.810998225
30,1,0.810998225
31,1,0.810998225
32,1,0.810998225
33,1,0.810998225
34,1,0.810998225
35,1,0.810998225
36,1,0.810998225
37,1,0.810998225
38,1,0.810998225
39,1,0.810998225
40,1,0.810998225
41,1,0.810998225
42,1,0.810998225
43,1,0.810998225
44,1,0.810998225
45,1,0.810998225
46,1,0.810998225
47,1,0.810998225
48,1,0.810998225
49,1,0.810998225
50,1,0.810998225
