time,X-mean,X-sd
0,0,0
1,0.333333333,0.23570226
2,0.333333333,0.23570226
3,0.333333333,0.23570226
4,0.333333333,0.23570226
5,0.333333333,0.23570226
6,0.333333333,0.23570226
7,0.333333333,0.23570226
8,0.333333333,0.23570226
9,0.333333333,0.23570226
10,0.333333333,0.23570226
11,0.333333333,0.23570226
12,0.333333333,0.23570226
13,0.333333333,0.23570226
14,0.333333333,0.23570226
15,0.333333333,0.23570226
16,0.333333333,0.23570226
17,0.333333333,0.23570226
18,0.333333333,0.23570226
19,0.333333333,0.23570226
20,0.333333333,0.23570226
21,0.333333333,0.23570226
22,0.333333333,0.23570226
23,0.333333333,0.23570226
24,0.333333333,0.23570226
25,0.333333333,0.23570226
26,0.333333333,0.23570226
27,0.333333333,0.23570226
28,0.333333333,0.23570226
29,0.333333333,0.23570226
30,0.333333333,0.23570226
31,0.333333333,0.23570226
32,0.333333333,0.23570226
33,0.333333333,0.23570226
34,0.333333333,0.23570226
35,0.333333333,0.23570226
36,0.333333333,0.23570226
37,0.333333333,0.23570226
38,0.333333333,0.23570226
39,0.333333333,0.23570226
40,0.333333333,0.23570226
41,0.333333333,0.23570226
42,0.333333333,0.23570226
43,0.333333333,0.23570226
44,0.333333333,0.23570226
45,0.333333333,0.23570226
46,0.333333333,0.23570226
47,0.333333333,0.23570226
48,0.333333333,0.23570226
49,0.333333333,0.23570226
50,0.333333333,0.23570226
