time,X-mean,X-sd
0,0,0
1,3,2.828427125
2,3,2.828427125
3,3,2.828427125
4,3,2.828427125
5,3,2.828427125
6,3,2.828427125
7,3,2.828427125
8,3,2.828427125
9,3,2.828427125
10,3,2.828427125
11,3,2.828427125
12,3,2.828427125
13,3,2.828427125
14,3,2.828427125
15,3,2.828427125
16,3,2.828427125
17,3,2.828427125
18,3,2.828427125
19,3,2.828427125
20,3,2.828427125
21,3,2.828427125
22,3,2.828427125
23,3,2.828427125
24,3,2.828427125
25,3,2.828427125
26,3,2.828427125
27,3,2.828427125
28,3,2.828427125
29,3,2.828427125
30,3,2.828427125
31,3,2.828427125
32,3,2.828427125
33,3,2.828427125
34,3,2.828427125
35,3,2.828427125
36,3,2.828427125
37,3,2.828427125
38,3,2.828427125
39,3,2.828427125
40,3,2.828427125
41,3,2.828427125
42,3,2.828427125
43,3,2.828427125
44,3,2.828427125
45,3,2.828427125
46,3,2.828427125
47,3,2.828427125
48,3,2.828427125
49,3,2.828427125
50,3,2.828427125
