time,X-mean,X-sd
0,0,0
1,1,1.414213562
2,1,1.414213562
3,1,1.414213562
4,1,1.414213562
5,1,1.414213562
6,1,1.414213562
7,1,1.414213562
8,1,1.414213562
9,1,1.414213562
10,1,1.414213562
11,1,1.414213562
12,1,1.414213562
13,1,1.414213562
14,1,1.414213562
15,1,1.414213562
16,1,1.414213562
17,1,1.414213562
18,1,1.414213562
19,1,1.414213562
20,1,1.414213562
21,1,1.414213562
22,1,1.414213562
23,1,1.414213562
24,1,1.414213562
25,1,1.414213562
26,1,1.414213562
27,1,1.414213562
28,1,1.414213562
29,1,1.414213562
30,1,1.414213562
31,1,1.414213562
32,1,1.414213562
33,1,1.414213562
34,1,1.414213562
35,1,1.414213562
36,1,1.414213562
37,1,1.414213562
38,1,1.414213562
39,1,1.414213562
40,1,1.414213562
41,1,1.414213562
42,1,1.414213562
43,1,1.414213562
44,1,1.414213562
45,1,1.414213562
46,1,1.414213562
47,1,1.414213562
48,1,1.414213562
49,1,1.414213562
50,1,1.414213562
