time,X-mean,X-sd
0,0,0
1,10,9.486832981
2,10,9.486832981
3,10,9.486832981
4,10,9.486832981
5,10,9.486832981
6,10,9.486832981
7,10,9.486832981
8,10,9.486832981
9,10,9.486832981
10,10,9.486832981
11,10,9.486832981
12,10,9.486832981
13,10,9.486832981
14,10,9.486832981
15,10,9.486832981
16,10,9.486832981
17,10,9.486832981
18,10,9.486832981
19,10,9.486832981
20,10,9.486832981
21,10,9.486832981
22,10,9.486832981
23,10,9.486832981
24,10,9.486832981
25,10,9.486832981
26,10,9.486832981
27,10,9.486832981
28,10,9.486832981
29,10,9.486832981
30,10,9.486832981
31,10,9.486832981
32,10,9.486832981
33,10,9.486832981
34,10,9.486832981
35,10,9.486832981
36,10,9.486832981
37,10,9.486832981
38,10,9.486832981
39,10,9.486832981
40,10,9.486832981
41,10,9.486832981
42,10,9.486832981
43,10,9.486832981
44,10,9.486832981
45,10,9.486832981
46,10,9.486832981
47,10,9.486832981
48,10,9.486832981
49,10,9.486832981
50,10,9.486832981
