time,X-mean,X-sd
0,0,0
1,0,1.118033989
2,0,1.118033989
3,0,1.118033989
4,0,1.118033989
5,0,1.118033989
6,0,1.118033989
7,0,1.118033989
8,0,1.118033989
9,0,1.118033989
10,0,1.118033989
11,0,1.118033989
12,0,1.118033989
13,0,1.118033989
14,0,1.118033989
15,0,1.118033989
16,0,1.118033989
17,0,1.118033989
18,0,1.118033989
19,0,1.118033989
20,0,1.118033989
21,0,1.118033989
22,0,1.118033989
23,0,1.118033989
24,0,1.118033989
25,0,1.118033989
26,0,1.118033989
27,0,1.118033989
28,0,1.118033989
29,0,1.118033989
30,0,1.118033989
31,0,1.118033989
32,0,1.118033989
33,0,1.118033989
34,0,1.118033989
35,0,1.118033989
36,0,1.118033989
37,0,1.118033989
38,0,1.118033989
39,0,1.118033989
40,0,1.118033989
41,0,1.118033989
42,0,1.118033989
43,0,1.118033989
44,0,1.118033989
45,0,1.118033989
46,0,1.118033989
47,0,1.118033989
48,0,1.118033989
49,0,1.118033989
50,0,1.118033989
