time,X-mean,X-sd
0,0,0
1,4,8.94427191
2,4,8.94427191
3,4,8.94427191
4,4,8.94427191
5,4,8.94427191
6,4,8.94427191
7,4,8.94427191
8,4,8.94427191
9,4,8.94427191
10,4,8.94427191
11,4,8.94427191
12,4,8.94427191
13,4,8.94427191
14,4,8.94427191
15,4,8.94427191
16,4,8.94427191
17,4,8.94427191
18,4,8.94427191
19,4,8.94427191
20,4,8.94427191
21,4,8.94427191
22,4,8.94427191
23,4,8.94427191
24,4,8.94427191
25,4,8.94427191
26,4,8.94427191
27,4,8.94427191
28,4,8.94427191
29,4,8.94427191
30,4,8.94427191
31,4,8.94427191
32,4,8.94427191
33,4,8.94427191
34,4,8.94427191
35,4,8.94427191
36,4,8.94427191
37,4,8.94427191
38,4,8.94427191
39,4,8.94427191
40,4,8.94427191
41,4,8.94427191
42,4,8.94427191
43,4,8.94427191
44,4,8.94427191
45,4,8.94427191
46,4,8.94427191
47,4,8.94427191
48,4,8.94427191
49,4,8.94427191
50,4,8.94427191
