time,X-mean,X-sd
0,0,0
1,1,3.627598728
2,1,3.627598728
3,1,3.627598728
4,1,3.627598728
5,1,3.627598728
6,1,3.627598728
7,1,3.627598728
8,1,3.627598728
9,1,3.627598728
10,1,3.627598728
11,1,3.627598728
12,1,3.627598728
13,1,3.627598728
14,1,3.627598728
15,1,3.627598728
16,1,3.627598728
17,1,3.627598728
18,1,3.627598728
19,1,3.627598728
20,1,3.627598728
21,1,3.627598728
22,1,3.627598728
23,1,3.627598728
24,1,3.627598728
25,1,3.627598728
26,1,3.627598728
27,1,3.627598728
28,1,3.627598728
29,1,3.627598728
30,1,3.627598728
31,1,3.627598728
32,1,3.627598728
33,1,3.627598728
34,1,3.627598728
35,1,3.627598728
36,1,3.627598728
37,1,3.627598728
38,1,3.627598728
39,1,3.627598728
40,1,3.627598728
41,1,3.627598728
42,1,3.627598728
43,1,3.627598728
44,1,3.627598728
45,1,3.627598728
46,1,3.627598728
47,1,3.627598728
48,1,3.627598728
49,1,3.627598728
50,1,3.627598728
