time,X-mean,X-sd
0,0,0
1,0.5,0.935414347
2,0.5,0.935414347
3,0.5,0.935414347
4,0.5,0.935414347
5,0.5,0.935414347
6,0.5,0.935414347
7,0.5,0.935414347
8,0.5,0.935414347
9,0.5,0.935414347
10,0.5,0.935414347
11,0.5,0.935414347
12,0.5,0.935414347
13,0.5,0.935414347
14,0.5,0.935414347
15,0.5,0.935414347
16,0.5,0.935414347
17,0.5,0.935414347
18,0.5,0.935414347
19,0.5,0.935414347
20,0.5,0.935414347
21,0.5,0.935414347
22,0.5,0.935414347
23,0.5,0.935414347
24,0.5,0.935414347
25,0.5,0.935414347
26,0.5,0.935414347
27,0.5,0.935414347
28,0.5,0.935414347
29,0.5,0.935414347
30,0.5,0.935414347
31,0.5,0.935414347
32,0.5,0.935414347
33,0.5,0.935414347
34,0.5,0.935414347
35,0.5,0.935414347
36,0.5,0.935414347
37,0.5,0.935414347
38,0.5,0.935414347
39,0.5,0.935414347
40,0.5,0.935414347
41,0.5,0.935414347
42,0.5,0.935414347
43,0.5,0.935414347
44,0.5,0.935414347
45,0.5,0.935414347
46,0.5,0.935414347
47,0.5,0.935414347
48,0.5,0.935414347
49,0.5,0.935414347
50,0.5,0.935414347
